raw_name,taxon_name,level_1,indicator
Atriplex,atriplex,Chenopodiaceae/Amaranthaceae,FALSE
Atriplex calotheca,atriplex_calotheca,Chenopodiaceae/Amaranthaceae,FALSE
Atriplex kuzenevae,atriplex_kuzenevae,Chenopodiaceae/Amaranthaceae,FALSE
Atriplex nudicaulis,atriplex_nudicaulis,Chenopodiaceae/Amaranthaceae,FALSE
Atriplex praecox,atriplex_praecox,Chenopodiaceae/Amaranthaceae,FALSE
Atropa-type,atropa_type,Atropa-type,FALSE
Atropa belladonna,atropa_belladonna,Atropa,FALSE
Avena,avena,Avena-type,FALSE
Avena-type,avena_type,Avena-type,FALSE
Avena sativa,avena_sativa,Avena-type,FALSE
Avena/Triticum,avena_triticum,Avena/Triticum-type,FALSE
Avena/Triticum-type,avena_triticum_type,Avena/Triticum-type,FALSE
Ballota,ballota,Ballota-type,FALSE
Ballota-type,ballota_type,Ballota-type,FALSE
Ballota group,ballota_group,Ballota-type,FALSE
Balsaminaceae,balsaminaceae,Impatiens,FALSE
Bambusa-type,bambusa_type,Poaceae,FALSE
Barbarea-type,barbarea_type,Brassicaceae,FALSE
Bartsia,bartsia,Rhinanthus-type,FALSE
Bartsia-type,bartsia_type,Rhinanthus-type,FALSE
Bassia laniflora,bassia_laniflora,Chenopodiaceae/Amaranthaceae,FALSE
Bellidiastrum-type,bellidiastrum_type,Aster-type,FALSE
Bellidiastrum michelii,bellidiastrum_michelii,Aster-type,FALSE
Bellis,bellis,Aster-type,FALSE
Bellis-type,bellis_type,Aster-type,FALSE
Berberis,berberis,Berberis,FALSE
Berberis vulgaris,berberis_vulgaris,Berberis,FALSE
Berberis vulgaris-type,berberis_vulgaris_type,Berberis,FALSE
Berula-type,berula_type,Sium-type,FALSE
Berula erecta,berula_erecta,Berula erecta,FALSE
Berula erecta-type,berula_erecta_type,Sium-type,FALSE
Betula,betula,Betula pubescens-type,FALSE
Betula (hybrid),betula_hybrid,Betula pubescens-type,FALSE
Betula (tree),betula_tree,Betula pubescens-type,FALSE
Betula cf. B. nana,betula_cf_b_nana,Betula nana-type,FALSE
Betula fruticosa,betula_fruticosa,Betula nana-type,FALSE
Betula humilis,betula_humilis,Betula nana-type,FALSE
Betula nana,betula_nana,Betula nana-type,FALSE
Betula nana-type,betula_nana_type,Betula nana-type,FALSE
Betula nana subsp. exilis,betula_nana_subsp_exilis,Betula nana-type,FALSE
Betula pendula,betula_pendula,Betula pubescens-type,FALSE
Betula pubescens,betula_pubescens,Betula pubescens-type,FALSE
Betula pubescens-type,betula_pubescens_type,Betula pubescens-type,FALSE
